,time,volume,mid_o,mid_h,mid_l,mid_c,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
174,2019-08-18T21:00:00.000000000Z,15345,106.285,106.698,106.248,106.632,106.239,106.691,106.215,106.618,106.331,106.704,106.254,106.647
175,2019-08-19T21:00:00.000000000Z,15867,106.634,106.692,106.164,106.232,106.624,106.685,106.156,106.220,106.645,106.698,106.171,106.244
176,2019-08-20T21:00:00.000000000Z,13278,106.236,106.648,106.228,106.617,106.219,106.641,106.214,106.599,106.253,106.654,106.243,106.635
177,2019-08-21T21:00:00.000000000Z,17038,106.626,106.652,106.252,106.440,106.607,106.645,106.244,106.390,106.644,106.660,106.259,106.490
178,2019-08-22T21:00:00.000000000Z,37643,106.432,106.734,105.254,105.406,106.405,106.728,105.247,105.356,106.459,106.741,105.261,105.456
179,2019-08-23T21:00:00.000000000Z,1,105.398,105.398,105.398,105.398,105.348,105.348,105.348,105.348,105.448,105.448,105.448,105.448
180,2019-08-25T21:00:00.000000000Z,61095,105.024,106.412,104.454,106.130,104.974,106.401,104.438,106.080,105.074,106.427,104.470,106.180
181,2019-08-26T21:00:00.000000000Z,25928,106.150,106.163,105.590,105.758,106.100,106.144,105.584,105.734,106.200,106.213,105.597,105.782
182,2019-08-27T21:00:00.000000000Z,22898,105.762,106.228,105.652,106.122,105.713,106.221,105.639,106.101,105.812,106.238,105.658,106.143
183,2019-08-28T21:00:00.000000000Z,23758,106.117,106.683,105.828,106.516,106.092,106.677,105.822,106.500,106.142,106.690,105.835,106.532
184,2019-08-29T21:00:00.000000000Z,19569,106.523,106.546,106.106,106.284,106.496,106.539,106.099,106.234,106.550,106.552,106.112,106.334
185,2019-08-30T21:00:00.000000000Z,1,106.277,106.277,106.277,106.277,106.227,106.227,106.227,106.227,106.327,106.327,106.327,106.327
186,2019-09-01T21:00:00.000000000Z,11202,106.059,106.400,105.932,106.223,106.009,106.394,105.901,106.179,106.109,106.405,105.956,106.267
187,2019-09-02T21:00:00.000000000Z,23087,106.236,106.385,105.740,105.946,106.191,106.379,105.733,105.914,106.281,106.392,105.747,105.978
188,2019-09-03T21:00:00.000000000Z,16797,105.957,106.448,105.830,106.408,105.936,106.440,105.825,106.358,105.978,106.458,105.836,106.458
189,2019-09-04T21:00:00.000000000Z,22320,106.379,107.232,106.328,106.947,106.329,107.224,106.320,106.920,106.429,107.240,106.336,106.974
190,2019-09-05T21:00:00.000000000Z,20931,106.936,107.102,106.624,106.918,106.892,107.096,106.617,106.903,106.979,107.109,106.631,106.933
191,2019-09-08T21:00:00.000000000Z,14900,106.866,107.274,106.765,107.242,106.828,107.267,106.758,107.227,106.903,107.282,106.772,107.258
192,2019-09-09T21:00:00.000000000Z,17852,107.248,107.590,107.182,107.542,107.229,107.580,107.175,107.525,107.266,107.599,107.190,107.559
193,2019-09-10T21:00:00.000000000Z,13724,107.532,107.857,107.500,107.830,107.503,107.850,107.487,107.796,107.561,107.879,107.508,107.864
194,2019-09-11T21:00:00.000000000Z,31791,107.826,108.188,107.522,108.112,107.792,108.182,107.516,108.071,107.860,108.195,107.529,108.154
195,2019-09-12T21:00:00.000000000Z,15934,108.108,108.260,107.905,108.096,108.058,108.254,107.896,108.046,108.158,108.267,107.914,108.146
196,2019-09-13T21:00:00.000000000Z,1,108.101,108.101,108.101,108.101,108.051,108.051,108.051,108.051,108.151,108.151,108.151,108.151
197,2019-09-15T21:00:00.000000000Z,22644,107.486,108.170,107.486,108.146,107.466,108.162,107.464,108.125,107.506,108.178,107.505,108.167
198,2019-09-16T21:00:00.000000000Z,17914,108.156,108.371,108.022,108.118,108.141,108.363,108.015,108.105,108.172,108.379,108.028,108.132
199,2019-09-17T21:00:00.000000000Z,16198,108.124,108.476,108.086,108.448,108.106,108.469,108.080,108.435,108.141,108.483,108.093,108.461
200,2019-09-18T21:00:00.000000000Z,21375,108.430,108.474,107.788,108.048,108.405,108.466,107.782,107.998,108.455,108.481,107.795,108.098
201,2019-09-19T21:00:00.000000000Z,16306,108.024,108.088,107.529,107.565,108.003,108.081,107.517,107.544,108.046,108.094,107.538,107.586
202,2019-09-20T21:00:00.000000000Z,1,107.554,107.554,107.554,107.554,107.507,107.507,107.507,107.507,107.602,107.602,107.602,107.602
203,2019-09-22T21:00:00.000000000Z,14691,107.718,107.769,107.310,107.546,107.695,107.761,107.304,107.534,107.741,107.798,107.316,107.557
204,2019-09-23T21:00:00.000000000Z,24031,107.548,107.798,106.962,107.081,107.528,107.790,106.956,107.039,107.569,107.806,106.969,107.123
205,2019-09-24T21:00:00.000000000Z,24162,107.086,107.884,107.002,107.770,107.047,107.877,106.985,107.758,107.126,107.892,107.008,107.781
206,2019-09-25T21:00:00.000000000Z,18932,107.757,107.958,107.425,107.840,107.732,107.952,107.419,107.829,107.782,107.965,107.431,107.850
207,2019-09-26T21:00:00.000000000Z,23568,107.836,108.182,107.658,107.935,107.812,108.175,107.650,107.885,107.859,108.188,107.666,107.985
208,2019-09-29T21:00:00.000000000Z,16395,107.952,108.179,107.744,108.074,107.909,108.172,107.738,108.064,107.995,108.186,107.751,108.085
209,2019-09-30T21:00:00.000000000Z,21521,108.086,108.470,107.628,107.752,108.068,108.463,107.620,107.735,108.103,108.477,107.635,107.769
