,time,volume,mid_o,mid_h,mid_l,mid_c,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
313,2020-03-16T21:00:00.000000000Z,223099,1.11827,1.11894,1.09548,1.09970,1.11790,1.11884,1.09538,1.09957,1.11864,1.11904,1.09558,1.09984
314,2020-03-17T21:00:00.000000000Z,247909,1.09970,1.10453,1.08018,1.09158,1.09957,1.10444,1.08010,1.09108,1.09984,1.10465,1.08026,1.09208
315,2020-03-18T21:00:00.000000000Z,302305,1.09153,1.09817,1.06551,1.06926,1.09104,1.09800,1.06541,1.06901,1.09202,1.09837,1.06560,1.06950
316,2020-03-19T21:00:00.000000000Z,261510,1.06922,1.08312,1.06377,1.06964,1.06895,1.08300,1.06365,1.06914,1.06948,1.08324,1.06384,1.07014
317,2020-03-22T21:00:00.000000000Z,244301,1.07077,1.08284,1.06360,1.07264,1.07027,1.08273,1.06346,1.07218,1.07127,1.08294,1.06374,1.07309
318,2020-03-23T21:00:00.000000000Z,181210,1.07264,1.08880,1.07230,1.07886,1.07218,1.08873,1.07187,1.07861,1.07309,1.08888,1.07267,1.07912
319,2020-03-24T21:00:00.000000000Z,170729,1.07886,1.08940,1.07605,1.08822,1.07861,1.08933,1.07594,1.08801,1.07912,1.08950,1.07616,1.08842
320,2020-03-25T21:00:00.000000000Z,173865,1.08822,1.10588,1.08702,1.10325,1.08801,1.10580,1.08688,1.10311,1.08842,1.10599,1.08717,1.10339
321,2020-03-26T21:00:00.000000000Z,169217,1.10325,1.11476,1.09536,1.11415,1.10311,1.11458,1.09528,1.11365,1.10339,1.11493,1.09543,1.11465
322,2020-03-29T21:00:00.000000000Z,135178,1.11194,1.11448,1.10100,1.10464,1.11150,1.11437,1.10091,1.10426,1.11237,1.11459,1.10108,1.10503
323,2020-03-30T21:00:00.000000000Z,173820,1.10464,1.10535,1.09267,1.10336,1.10426,1.10499,1.09259,1.10286,1.10503,1.10585,1.09274,1.10386
324,2020-03-31T21:00:00.000000000Z,130418,1.10336,1.10387,1.09028,1.09632,1.10286,1.10368,1.09021,1.09609,1.10386,1.10411,1.09034,1.09655
325,2020-04-01T21:00:00.000000000Z,133964,1.09632,1.09684,1.08208,1.08576,1.09609,1.09666,1.08200,1.08545,1.09655,1.09725,1.08215,1.08608
326,2020-04-02T21:00:00.000000000Z,110597,1.08580,1.08648,1.07728,1.08056,1.08540,1.08616,1.07720,1.08006,1.08621,1.08679,1.07736,1.08106
327,2020-04-05T21:00:00.000000000Z,100143,1.08090,1.08356,1.07684,1.07930,1.08040,1.08347,1.07677,1.07909,1.08140,1.08365,1.07691,1.07951
328,2020-04-06T21:00:00.000000000Z,111064,1.07930,1.09265,1.07836,1.08918,1.07909,1.09249,1.07827,1.08905,1.07951,1.09281,1.07845,1.08932
329,2020-04-07T21:00:00.000000000Z,98504,1.08918,1.09021,1.08301,1.08570,1.08905,1.09013,1.08293,1.08538,1.08932,1.09029,1.08308,1.08602
330,2020-04-08T21:00:00.000000000Z,112281,1.08570,1.09518,1.08410,1.09293,1.08538,1.09512,1.08404,1.09283,1.08602,1.09525,1.08416,1.09303
331,2020-04-09T21:00:00.000000000Z,16319,1.09293,1.09530,1.09198,1.09357,1.09283,1.09513,1.09168,1.09307,1.09303,1.09557,1.09214,1.09407
332,2020-04-12T21:00:00.000000000Z,59415,1.09490,1.09679,1.08926,1.09111,1.09474,1.09670,1.08919,1.09061,1.09506,1.09688,1.08934,1.09161
333,2020-04-13T21:00:00.000000000Z,90557,1.09111,1.09872,1.09061,1.09810,1.09061,1.09866,1.09011,1.09785,1.09161,1.09879,1.09103,1.09835
